Long Method,,,,,Long Method,,,,,Long Method,,
Year 2020,,,,,Year 2019,,,,,Year 2018,,
Method,Nº Teams,% Teams,,,Method,Nº Teams,% Teams,,,Method,Nº Teams,% Teams
"private void updateLabelLinks(Hashtable#RAW, ArrayList#RAW) throws com.jasml.compiler.GrammerException",44,100%,,,"private void updateLabelLinks(Hashtable#RAW, ArrayList#RAW) throws com.jasml.compiler.GrammerException",21,41%,,,"public void draw(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, java.awt.geom.Rectangle2D, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, int, org.jfree.chart.plot.PlotRenderingInfo) ",6,75%
private static void delComment(char[]) throws com.jasml.compiler.ParsingException,43,98%,,,"private com.jasml.classes.Method parseMethod() throws com.jasml.compiler.ParsingException, com.jasml.compiler.GrammerException",20,39%,,,public void processOpcode(org.w3c.dom.Node) ,4,50%
private void preprocessConstantValues() throws com.jasml.compiler.ParsingException,41,93%,,,private void preprocessConstantValues() throws com.jasml.compiler.ParsingException,20,39%,,,"private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) ",3,38%
private void dumpAttribute(com.jasml.classes.Attribute) throws java.io.IOException,41,93%,,,public void processOpcode(org.w3c.dom.Node) ,20,39%,,,private void readConstantPool() throws java.io.IOException,2,25%
"private void parseClassAttributes() throws com.jasml.compiler.GrammerException, com.jasml.compiler.ParsingException",40,91%,,,private void readConstantPool() throws java.io.IOException,19,37%,,,private com.jasml.classes.Attribute_Code.Opcode[] parseOpcodes(byte[]) ,2,25%
"private com.jasml.classes.Method parseMethod() throws com.jasml.compiler.ParsingException, com.jasml.compiler.GrammerException",40,91%,,,"private void parseClassAttributes() throws com.jasml.compiler.GrammerException, com.jasml.compiler.ParsingException",19,37%,,,public static void main(java.lang.String[]) throws java.lang.Exception,2,25%
"private void parseMethodSignature(com.jasml.classes.Method, ArrayList#RAW) throws com.jasml.compiler.ParsingException, com.jasml.compiler.GrammerException",38,86%,,,public static void main(java.lang.String[]) throws java.lang.Exception,18,35%,,,public static void main(java.lang.String[]) ,2,25%
private void parseMaxStackOrLocals(com.jasml.classes.Attribute_Code) throws com.jasml.compiler.ParsingException,38,86%,,,public static java.lang.String parseViewableString(java.lang.String) ,16,31%,,,public static java.lang.String parseViewableString(java.lang.String) ,2,25%
"private void parseMethodAttributes(com.jasml.classes.Method, ArrayList#RAW, com.jasml.compiler.SourceCodeParser.LabeledInstructions, com.jasml.classes.Attribute_Code, ArrayList#RAW) throws com.jasml.compiler.GrammerException, com.jasml.compiler.ParsingException",37,84%,,,"private int addMethodNameAndType(java.lang.String, java.lang.String, java.lang.String) ",15,29%,,,public static java.lang.String descriptorToString(java.lang.String) ,2,25%
"private int addMethodNameAndType(java.lang.String, java.lang.String, java.lang.String) ",36,82%,,,"private java.lang.String toString(com.jasml.classes.Attribute_Code, HashSet#RAW) ",13,25%,,,public static java.lang.String methodParameterToString(java.lang.String) ,2,25%
